ID,What is your age range?,What is your gender?,What is your education level?,What is your employment status?,What is your occupation? (optional),How often do you use technological devices?,How much knowledge do you have about artificial intelligence (AI) technologies?,Do you generally trust artificial intelligence (AI)?,Do you think artificial intelligence (AI) will be generally beneficial or harmful to humanity?,Please rate how actively you use AI-powered products in your daily life on a scale from 1 to 5.,Would you like to use more AI products in the future?,I think artificial intelligence (AI) could threaten individual freedoms.,Could artificial intelligence (AI) completely eliminate some professions?,Do you think your own job could be affected by artificial intelligence (AI)?,Do you believe that artificial intelligence (AI) should be limited by ethical rules?,Could artificial intelligence (AI) one day become conscious like humans?,Which of the following do you think is NOT an artificial intelligence (AI) application?,Which of the following is a machine learning algorithm used in the field of artificial intelligence?,The artificial intelligence application called 'ChatGPT' is an example of which type of AI system?,device_hours_score,knowledge_score,trust_score,beneficial_score,ai_usage_score,future_intent_score,threat_freedoms_score,job_elimination_score,personal_job_threat_score,ethical_constraints_score,consciousness_score,q1_correct,q2_correct,q3_correct,device_hours_normalized,tech_comfort_level,ai_literacy_score,trust_index,anxiety_index,trust_anxiety_gap,trust_anxiety_balance,attitude_category,indifference_rate,knowledge_confidence_gap,literacy_perception_gap,self_awareness_category,response_consistency_score
1,18-24,Male,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,4,I would like to,Agree,Removes,I definitely think,I'm undecided,Becomes,WhatsApp,Game algorithm,Web browser,7.5,7.5,5.0,5.0,8.0,7.5,7.5,7.5,10.0,5.0,7.5,1,0,0,6.25,7.125,3.333333333333333,5.833333333333333,8.125,-2.291666666666667,3.8541666666666665,Moderate,0.0,-2.5,4.166666666666667,Overconfident,10.0
2,18-24,Female,Bachelor's degree,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,More harmful than beneficial,3,I'm undecided,Agree,I have no idea,I'm undecided,Agree,Becomes,WhatsApp,HTML,Web browser,3.5,5.0,2.5,2.5,6.0,5.0,7.5,5.0,5.0,7.5,7.5,1,0,0,2.916666666666667,4.458333333333334,3.333333333333333,3.333333333333333,6.25,-2.9166666666666665,3.541666666666667,Resister,7.6923076923076925,-2.5,1.666666666666667,Realistic,10.0
3,18-24,Male,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,Agree,Definitely Removes,I'm undecided,Agree,It certainly can't be,WhatsApp,Linear regression,Natural language processing,7.5,7.5,5.0,5.0,6.0,7.5,7.5,10.0,5.0,7.5,0.0,1,1,1,6.25,6.125,10.0,5.833333333333333,5.625,0.208333333333333,5.104166666666666,Moderate,0.0,-2.5,-2.5,Underconfident,10.0
4,18-24,Male,Bachelor's degree,Student,engineer,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I would like to,I'm undecided,Removes,Think,Agree,I'm undecided,WhatsApp,HTML,Web browser,3.5,5.0,5.0,5.0,4.0,7.5,5.0,7.5,7.5,7.5,5.0,1,0,0,2.916666666666667,3.458333333333333,3.333333333333333,5.833333333333333,6.25,-0.4166666666666669,4.791666666666666,Moderate,0.0,0.0,1.666666666666667,Realistic,10.0
5,18-24,Male,Associate degree,Student,Student,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,1,I would like to,Agree,Removes,I'm undecided,Agree,I'm undecided,WhatsApp,I do not know,Web browser,3.5,2.5,5.0,5.0,2.0,7.5,7.5,7.5,5.0,7.5,5.0,1,0,0,2.916666666666667,2.458333333333333,3.333333333333333,5.833333333333333,6.25,-0.4166666666666669,4.791666666666666,Moderate,7.6923076923076925,2.5,-0.833333333333333,Realistic,10.0
6,18-24,Female,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,3,I would like to,Strongly disagree,Can't handle it,I don't think so,Strongly Agree,It certainly can't be,WhatsApp,Linear regression,Natural language processing,7.5,5.0,2.5,5.0,6.0,7.5,0.0,2.5,2.5,10.0,0.0,1,1,1,6.25,6.125,10.0,5.0,1.25,3.75,6.875,Moderate,0.0,-2.5,-5.0,Underconfident,10.0
7,18-24,Male,High school,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I would like to,I'm undecided,Removes,I'm undecided,Strongly Agree,Can't,WhatsApp,I do not know,Natural language processing,3.5,5.0,5.0,5.0,4.0,7.5,5.0,7.5,5.0,10.0,2.5,1,0,1,2.916666666666667,3.458333333333333,6.666666666666666,5.833333333333333,5.0,0.833333333333333,5.416666666666666,Moderate,7.6923076923076925,0.0,-1.666666666666666,Realistic,10.0
8,18-24,Male,High school,Student,Student,More than 10 hours per day,I have a good level of knowledge,I'm undecided,More beneficial than harmful,1,I would like to,Agree,Definitely Removes,I'm undecided,Agree,Can't,WhatsApp,Linear regression,Web browser,10.0,7.5,5.0,7.5,2.0,7.5,7.5,10.0,5.0,7.5,2.5,1,1,0,10.0,6.0,6.666666666666666,6.666666666666667,6.25,0.4166666666666669,5.208333333333334,Cautious,0.0,-2.5,0.8333333333333339,Realistic,10.0
9,Under 18 years old,Male,High school,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I trust it,Definitely beneficial,3,I'm undecided,I'm undecided,Removes,Definitely I don't think so,Agree,Can't,WhatsApp,HTML,Image processing,7.5,5.0,7.5,10.0,6.0,5.0,5.0,7.5,0.0,7.5,2.5,1,0,0,6.25,6.125,3.333333333333333,7.5,3.75,3.75,6.875,Optimist,0.0,2.5,1.666666666666667,Realistic,10.0
10,Under 18 years old,Female,Primary education,Student,Student,Between 2 to 5 hours per day,I've heard a little about it,I trust it,Both beneficial and harmful,4,I would like to,I disagree,Removes,I'm undecided,Agree,Can't,I do not know,I do not know,Web browser,3.5,2.5,7.5,5.0,8.0,7.5,2.5,7.5,5.0,7.5,2.5,0,0,0,2.916666666666667,5.458333333333334,0.0,6.666666666666667,4.375,2.291666666666667,6.145833333333334,Moderate,15.384615384615383,5.0,2.5,Overconfident,10.0
11,Under 18 years old,Female,Primary education,Student,Student,Between 0 to 2 hours per day,I've heard a little about it,I don't trust it at all,Both beneficial and harmful,1,I would not like to,Strongly Agree,Removes,I don't think so,I'm undecided,Becomes,Netflix recommendations,I do not know,Web browser,1.0,2.5,0.0,5.0,2.0,2.5,10.0,7.5,2.5,5.0,7.5,0,0,0,0.8333333333333333,1.4166666666666663,0.0,2.5,6.875,-4.375,2.8125,Resister,7.6923076923076925,-2.5,2.5,Overconfident,10.0
12,18-24,Male,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,4,"Definitely, I would like to",I'm undecided,Removes,I definitely think,Strongly Agree,Becomes,WhatsApp,Linear regression,Natural language processing,7.5,7.5,7.5,5.0,8.0,10.0,5.0,7.5,10.0,10.0,7.5,1,1,1,6.25,7.125,10.0,7.5,7.5,0.0,5.0,Cautious,0.0,0.0,-2.5,Underconfident,8.5
13,Under 18 years old,Female,Primary education,Student,Student,Between 0 to 2 hours per day,I've heard a little about it,I don't trust it at all,Both beneficial and harmful,1,I would not like to,Agree,Removes,Definitely I don't think so,Agree,Becomes,Netflix recommendations,I do not know,Web browser,1.0,2.5,0.0,5.0,2.0,2.5,7.5,7.5,0.0,7.5,7.5,0,0,0,0.8333333333333333,1.4166666666666663,0.0,2.5,5.625,-3.125,3.4375,Moderate,7.6923076923076925,-2.5,2.5,Overconfident,10.0
14,Under 18 years old,Female,Primary education,Student,Student,Between 2 to 5 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,1,I would like to,Agree,Removes,Definitely I don't think so,Agree,Becomes,Netflix recommendations,I do not know,Web browser,3.5,7.5,5.0,5.0,2.0,7.5,7.5,7.5,0.0,7.5,7.5,0,0,0,2.916666666666667,2.458333333333333,0.0,5.833333333333333,5.625,0.208333333333333,5.104166666666666,Moderate,7.6923076923076925,-2.5,7.5,Dunning-Kruger,10.0
15,Under 18 years old,Female,High school,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,Agree,Removes,I'm undecided,Strongly Agree,Becomes,Netflix recommendations,I do not know,Web browser,3.5,5.0,5.0,5.0,6.0,7.5,7.5,7.5,5.0,10.0,7.5,0,0,0,2.916666666666667,4.458333333333334,0.0,5.833333333333333,6.875,-1.041666666666667,4.479166666666666,Moderate,7.6923076923076925,0.0,5.0,Overconfident,10.0
16,18-24,Male,Bachelor's degree,Student,Student,Between 2 to 5 hours per day,I have a good level of knowledge,I don't trust it,More beneficial than harmful,4,I would like to,Agree,Definitely Removes,Think,Agree,Becomes,WhatsApp,Linear regression,Natural language processing,3.5,7.5,2.5,7.5,8.0,7.5,7.5,10.0,7.5,7.5,7.5,1,1,1,2.916666666666667,5.458333333333334,10.0,5.833333333333333,8.125,-2.291666666666667,3.8541666666666665,Moderate,0.0,-5.0,-2.5,Underconfident,8.5
17,35-44,Male,Bachelor's degree,Employed,engineer,Between 5 to 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,3,I would like to,I'm undecided,Can't handle it,Think,Agree,Can't,WhatsApp,I do not know,Natural language processing,7.5,7.5,7.5,5.0,6.0,7.5,5.0,2.5,7.5,7.5,2.5,1,0,1,6.25,6.125,6.666666666666666,6.666666666666667,4.375,2.291666666666667,6.145833333333334,Moderate,7.6923076923076925,0.0,0.8333333333333339,Realistic,10.0
18,35-44,Female,Primary education,Unemployed,Housewife,Between 2 to 5 hours per day,I have no knowledge,I'm undecided,Both beneficial and harmful,2,"Definitely, I would not like to",I'm undecided,Removes,Definitely I don't think so,Agree,Can't,I do not know,I do not know,I do not know,3.5,0.0,5.0,5.0,4.0,0.0,5.0,7.5,0.0,7.5,2.5,0,0,0,2.916666666666667,3.458333333333333,0.0,3.333333333333333,3.75,-0.4166666666666665,4.791666666666667,Indifferent,30.76923076923077,5.0,0.0,Realistic,10.0
19,18-24,Male,Associate degree,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,4,I'm undecided,I'm undecided,I have no idea,Definitely I don't think so,I'm undecided,I'm undecided,I do not know,I do not know,Image processing,7.5,5.0,7.5,5.0,8.0,5.0,5.0,5.0,0.0,5.0,5.0,0,0,0,6.25,7.125,0.0,5.833333333333333,3.75,2.083333333333333,6.041666666666666,Moderate,23.07692307692308,2.5,5.0,Overconfident,10.0
20,45 years and older,Male,High school,Employed,Textile,Between 0 to 2 hours per day,I've heard a little about it,I don't trust it at all,More harmful than beneficial,1,I would not like to,Strongly disagree,Definitely Removes,I don't think so,Strongly Agree,Becomes,WhatsApp,Excel,I do not know,1.0,2.5,0.0,2.5,2.0,2.5,0.0,10.0,2.5,10.0,7.5,1,0,0,0.8333333333333333,1.4166666666666663,3.333333333333333,1.6666666666666667,5.0,-3.333333333333333,3.333333333333333,Moderate,7.6923076923076925,-2.5,-0.833333333333333,Realistic,10.0
21,18-24,Male,Bachelor's degree,Student,engineer,Between 2 to 5 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,3,I would like to,I disagree,Removes,I don't think so,Agree,Becomes,WhatsApp,Linear regression,Natural language processing,3.5,7.5,7.5,5.0,6.0,7.5,2.5,7.5,2.5,7.5,7.5,1,1,1,2.916666666666667,4.458333333333334,10.0,6.666666666666667,5.0,1.666666666666667,5.833333333333334,Moderate,0.0,0.0,-2.5,Underconfident,10.0
22,18-24,Male,High school,Employed,Not specified,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I would like to,Strongly disagree,Removes,I don't think so,Agree,Becomes,WhatsApp,Linear regression,Web browser,3.5,5.0,5.0,5.0,4.0,7.5,0.0,7.5,2.5,7.5,7.5,1,1,0,2.916666666666667,3.458333333333333,6.666666666666666,5.833333333333333,4.375,1.458333333333333,5.729166666666666,Moderate,0.0,0.0,-1.666666666666666,Realistic,10.0
23,35-44,Female,Primary education,Unemployed,Housewife,Between 0 to 2 hours per day,I've heard a little about it,I trust it,Both beneficial and harmful,1,I would not like to,Strongly Agree,Removes,I'm undecided,Agree,I'm undecided,Netflix recommendations,I do not know,Natural language processing,1.0,2.5,7.5,5.0,2.0,2.5,10.0,7.5,5.0,7.5,5.0,0,0,1,0.8333333333333333,1.4166666666666663,3.333333333333333,5.0,6.875,-1.875,4.0625,Moderate,7.6923076923076925,5.0,-0.833333333333333,Realistic,10.0
24,35-44,Female,Primary education,Unemployed,Housewife,Between 0 to 2 hours per day,I have no knowledge,I'm undecided,More harmful than beneficial,4,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,I'm undecided,Netflix recommendations,I do not know,I do not know,1.0,0.0,5.0,2.5,8.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,0,0.8333333333333333,4.416666666666667,0.0,4.166666666666667,5.0,-0.833333333333333,4.583333333333334,Moderate,30.76923076923077,5.0,0.0,Realistic,10.0
25,35-44,Female,Primary education,Unemployed,Housewife,Between 0 to 2 hours per day,I have no knowledge,I'm undecided,More harmful than beneficial,4,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,I'm undecided,Netflix recommendations,I do not know,I do not know,1.0,0.0,5.0,2.5,8.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,0,0.8333333333333333,4.416666666666667,0.0,4.166666666666667,5.0,-0.833333333333333,4.583333333333334,Moderate,30.76923076923077,5.0,0.0,Realistic,10.0
26,35-44,Female,Primary education,Unemployed,Housewife,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,More beneficial than harmful,3,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,I'm undecided,Siri,Game algorithm,Image processing,3.5,5.0,5.0,7.5,6.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,0,2.916666666666667,4.458333333333334,0.0,5.833333333333333,5.0,0.833333333333333,5.416666666666666,Moderate,7.6923076923076925,0.0,5.0,Overconfident,10.0
27,Under 18 years old,Male,High school,Student,Student,Between 5 to 10 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,2,I would like to,I'm undecided,Removes,I'm undecided,I'm undecided,Definitely Becomes,Netflix recommendations,I do not know,Web browser,7.5,2.5,5.0,5.0,4.0,7.5,5.0,7.5,5.0,5.0,10.0,0,0,0,6.25,5.125,0.0,5.833333333333333,6.875,-1.041666666666667,4.479166666666666,Moderate,7.6923076923076925,2.5,2.5,Overconfident,10.0
28,Under 18 years old,Male,Primary education,Student,Student,Between 2 to 5 hours per day,I've heard a little about it,I trust it,Both beneficial and harmful,5,I would like to,Agree,I have no idea,Think,Agree,Becomes,Netflix recommendations,I do not know,I do not know,3.5,2.5,7.5,5.0,10.0,7.5,7.5,5.0,7.5,7.5,7.5,0,0,0,2.916666666666667,6.458333333333334,0.0,6.666666666666667,6.875,-0.208333333333333,4.895833333333334,Cautious,23.07692307692308,5.0,2.5,Overconfident,10.0
29,35-44,Male,High school,Employed,Sales & Marketing,Between 0 to 2 hours per day,I have basic knowledge,I don't trust it at all,Definitely harmful,1,"Definitely, I would not like to",Strongly disagree,Absolutely Can't handle it,I definitely think,Strongly Agree,It certainly can't be,I do not know,I do not know,I do not know,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,10.0,0.0,0,0,0,0.8333333333333333,1.4166666666666663,0.0,0.0,2.5,-2.5,3.75,Indifferent,23.07692307692308,-5.0,5.0,Overconfident,10.0
30,35-44,Female,Primary education,Unemployed,Housewife,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,2,I'm undecided,I'm undecided,Removes,I'm undecided,Agree,Becomes,I do not know,I do not know,I do not know,3.5,2.5,5.0,5.0,4.0,5.0,5.0,7.5,5.0,7.5,7.5,0,0,0,2.916666666666667,3.458333333333333,0.0,5.0,6.25,-1.25,4.375,Moderate,23.07692307692308,2.5,2.5,Overconfident,10.0
31,18-24,Female,High school,Employed,Textile,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,More harmful than beneficial,1,I'm undecided,I disagree,I have no idea,I don't think so,I disagree,Can't,Netflix recommendations,I do not know,I do not know,3.5,2.5,5.0,2.5,2.0,5.0,2.5,5.0,2.5,2.5,2.5,0,0,0,2.916666666666667,2.458333333333333,0.0,4.166666666666667,3.125,1.041666666666667,5.520833333333334,Moderate,23.07692307692308,2.5,2.5,Overconfident,10.0
32,Under 18 years old,Female,High school,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,1,I would not like to,Agree,Definitely Removes,I'm undecided,Agree,Becomes,Netflix recommendations,I do not know,Web browser,7.5,5.0,2.5,5.0,2.0,2.5,7.5,10.0,5.0,7.5,7.5,0,0,0,6.25,4.125,0.0,3.333333333333333,7.5,-4.166666666666666,2.916666666666667,Resister,7.6923076923076925,-2.5,5.0,Overconfident,10.0
